title,total
Bedazzled,5
Boys and Girls,12
Groove,3
Just One Night,1
Live Nude Girls Unite,1
Playing Mona Lisa,1
Romeo Must Die,2
Sausalito,1
Woman on Top,1
By Hook or By Crook,3
Dr. Dolittle 2,5
Haiku Tunnel,1
Mission (aka City of Bars),2
Never Die Twice,1
Serendipity,1
Sweet November,9
The Princess Diaries,7
The Wedding Planner,8
40 Days and 40 Nights,2
Cherish,1
High Crimes,7
Rollerball,1
The Sweetest Thing,1
Confessions of a Burning Man,1
Dopamine,2
House of Sand and Fog,1
Hulk,4
Julie and Jack,1
Mona Lisa Smile,1
Swing,2
The Core,1
The Fog of War,1
Under the Tuscan Sun,1
50 First Dates,1
American Yearbook,1
Fandom,1
Red Diaper Baby,1
The Assassination of Richard Nixon,2
Twisted,11
What the Bleep Do We Know,1
24 Hours on Craigslist,1
Bee Season,1
Just Like Heaven,1
Night of Henna,1
Rent,1
The Californians,1
The Zodiac,1
Tweek City,1
The Bridge,1
The Pursuit of Happyness,4
Zodiac,1
Milk,12
