title,total
Another 48 Hours,1
Pacific Heights,3
Pretty Woman,1
Class Action,3
Dying Young,1
Shattered,1
Star Trek VI: The Undiscovered Country,1
The Doctor,1
The Doors,1
Until the End of the World,1
Basic Instinct,13
Vegas in Space,6
Final Analysis,5
Memoirs of an Invisible Man,1
Raising Cain,1
Sister Act,1
Sneakers,2
Fearless,9
Heart and Souls,4
Joy Luck Club,6
Mrs. Doubtfire,7
Sister Act 2: Back in the Habit,5
So I Married an Axe Murderer,14
The Nightmare Before Christmas,1
Forrest Gump,1
Getting Even with Dad,10
Golden Gate,5
Interview With The Vampire,4
Nina Takes a Lover,1
Junior,7
When a Man Loves a Woman,8
Copycat,6
Jade,9
Nine Months,15
Panther,1
The Net,2
Down Periscope,1
Dream for an Insomniac,2
Happy Gilmore,1
Homeward Bound II: Lost in San Francisco,1
Jack,1
James and the Giant Peach,1
Mother,2
Phenomenon,1
The Fan,1
The Rock,7
Tin Cup,1
A Smile Like Yours,1
A Smile Like Yours ,3
Dream with the Fishes,2
Fathers' Day,1
Flubber,1
George of the Jungle,5
Metro,1
The Game,14
Around the Fire,1
City of Angels,1
Desperate Measures,1
Doctor Dolittle,7
How Stella Got Her Groove Back,1
Patch Adams,3
Sphere,1
The Parent Trap,1
What Dreams May Come,1
Bicentennial Man,5
Edtv,9
Seven Girlfriends,1
Stigmata,1
The Bachelor,13
The Matrix,1
The Other Sister,3
